production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
425000000.0,2783918982.0,2009.0,1.78,178.0,4834.0,237000000.0,7.9
300000000.0,963420425.0,2007.0,2.35,169.0,48350.0,300000000.0,7.1
300000000.0,879620923.0,2015.0,2.35,148.0,11700.0,245000000.0,6.8
275000000.0,1084439099.0,2012.0,2.35,164.0,106759.0,250000000.0,8.5
275000000.0,260002115.0,2013.0,2.35,150.0,45757.0,215000000.0,6.5
275000000.0,282778100.0,2012.0,2.35,132.0,1873.0,263700000.0,6.6
260000000.0,586581936.0,2010.0,1.85,100.0,2036.0,260000000.0,7.8
258000000.0,890875303.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2
258000000.0,890875303.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2
250000000.0,1404705868.0,2015.0,2.35,141.0,92000.0,250000000.0,7.5
250000000.0,1150864745.0,2016.0,2.35,147.0,64798.0,250000000.0,8.2
250000000.0,868160194.0,2016.0,2.35,183.0,24450.0,250000000.0,6.9
250000000.0,1017003568.0,2012.0,2.35,182.0,9152.0,180000000.0,7.9
250000000.0,935083686.0,2009.0,2.35,153.0,58753.0,250000000.0,7.5
250000000.0,960366855.0,2013.0,2.35,186.0,9152.0,225000000.0,7.9
250000000.0,955119788.0,2014.0,2.35,164.0,9152.0,250000000.0,7.5
250000000.0,1045663875.0,2011.0,2.35,136.0,54083.0,250000000.0,6.7
232000000.0,374085065.0,2006.0,2.35,169.0,29991.0,209000000.0,6.1
230000000.0,591692078.0,2008.0,2.35,106.0,2023.0,200000000.0,6.7
225000000.0,667999518.0,2013.0,2.35,143.0,20495.0,225000000.0,7.2
225000000.0,417341288.0,2008.0,2.35,150.0,22697.0,225000000.0,6.6
220000000.0,757890267.0,2012.0,2.35,153.0,28489.0,230000000.0,7.0
215000000.0,1670328025.0,2015.0,2.0,124.0,8458.0,150000000.0,7.0
210000000.0,836519699.0,2009.0,2.35,150.0,3218.0,200000000.0,6.0
210000000.0,1104039076.0,2014.0,2.35,165.0,3988.0,210000000.0,5.7
210000000.0,322241588.0,2010.0,2.35,156.0,3244.0,200000000.0,6.7
209000000.0,305218228.0,2012.0,2.35,131.0,26679.0,209000000.0,5.9
200000000.0,2207615668.0,1997.0,2.35,194.0,45223.0,200000000.0,7.7
200000000.0,1069818229.0,2010.0,1.85,103.0,19085.0,200000000.0,8.3
200000000.0,1215392272.0,2013.0,2.35,195.0,30426.0,200000000.0,7.2
200000000.0,783705001.0,2004.0,2.35,135.0,43388.0,200000000.0,7.3
200000000.0,1110526981.0,2012.0,2.35,143.0,2039.0,200000000.0,7.8
200000000.0,1110526981.0,2012.0,2.35,143.0,2039.0,200000000.0,7.8
200000000.0,743588329.0,2013.0,1.85,104.0,14863.0,200000000.0,7.3
200000000.0,490359051.0,2013.0,2.35,130.0,73441.0,215000000.0,6.4
200000000.0,490359051.0,2013.0,2.35,130.0,73441.0,215000000.0,6.4
200000000.0,747862775.0,2014.0,2.35,149.0,91434.0,200000000.0,8.0
200000000.0,708996336.0,2014.0,2.35,142.0,28631.0,200000000.0,6.7
200000000.0,560155383.0,2011.0,2.35,106.0,4482.0,200000000.0,6.3
200000000.0,397562763.0,2010.0,2.35,125.0,25550.0,170000000.0,6.8
200000000.0,397562763.0,2010.0,2.35,125.0,25549.0,170000000.0,6.8
200000000.0,788408539.0,2009.0,2.35,158.0,2144.0,200000000.0,5.8
200000000.0,365491792.0,2009.0,2.35,118.0,27468.0,200000000.0,6.6
200000000.0,231201172.0,2011.0,2.35,123.0,17657.0,200000000.0,5.6
200000000.0,314594597.0,2010.0,2.35,116.0,16149.0,200000000.0,6.6
